Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 12:17:13.010,0.00,0.00,0.00,0.00
2023-11-06 12:17:13.022,0.00,0.00,0.00,0.00,
2023-11-06 12:17:14.326,6.83,1.25,0.00,0.00,
2023-11-06 12:17:14.441,6.83,1.25,0.00,0.00,
2023-11-06 12:17:14.544,6.83,1.25,0.00,0.00,
2023-11-06 12:17:14.652,6.83,1.25,0.00,0.00,
2023-11-06 12:17:14.753,6.83,1.25,0.00,0.00,
2023-11-06 12:17:14.855,6.28,1.25,0.00,0.00,
2023-11-06 12:17:14.959,6.17,1.25,0.00,0.00,
2023-11-06 12:17:15.066,6.17,1.25,0.00,0.00,
2023-11-06 12:17:15.170,2.78,1.25,0.00,0.00,
2023-11-06 12:17:15.277,1.79,0.94,0.00,0.00,
2023-11-06 12:17:15.378,1.96,0.95,0.00,0.00,
2023-11-06 12:17:15.480,2.14,-0.10,0.00,0.00,
2023-11-06 12:17:15.582,2.00,-0.76,0.00,0.00,
2023-11-06 12:17:15.683,1.99,-0.74,0.00,0.00,
2023-11-06 12:17:15.790,1.99,-0.74,0.00,0.00,
2023-11-06 12:17:15.890,1.99,-0.79,0.00,0.00,
2023-11-06 12:17:15.990,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.092,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.193,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.297,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.400,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.505,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.608,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.708,1.98,-0.80,0.00,0.00,
2023-11-06 12:17:16.813,2.82,-0.96,0.00,0.00,
2023-11-06 12:17:16.916,5.60,-1.55,0.00,0.00,
2023-11-06 12:17:17.022,3.83,-1.55,0.00,0.00,
2023-11-06 12:17:17.123,1.67,-1.39,0.00,0.00,
2023-11-06 12:17:17.226,3.85,-1.45,0.00,0.00,
2023-11-06 12:17:17.326,3.08,-1.67,0.00,0.00,
2023-11-06 12:17:17.427,1.92,-1.75,0.00,0.00,
2023-11-06 12:17:17.529,2.84,-1.29,0.00,0.00,
2023-11-06 12:17:17.630,3.23,-1.22,0.00,0.00,
2023-11-06 12:17:17.733,1.91,-1.48,0.00,0.00,
2023-11-06 12:17:17.836,2.30,-1.40,0.00,0.00,
2023-11-06 12:17:17.938,3.21,-1.24,0.00,0.00,
2023-11-06 12:17:18.041,1.79,-1.85,0.00,0.00,
2023-11-06 12:17:18.143,0.41,-1.97,0.00,0.00,
2023-11-06 12:17:18.247,0.06,-1.98,0.00,0.00,
2023-11-06 12:17:18.349,0.05,-1.98,0.00,0.00,
2023-11-06 12:17:18.454,0.04,-1.98,0.00,0.00,
2023-11-06 12:17:18.558,0.46,-1.96,0.00,0.00,
2023-11-06 12:17:18.662,2.27,-1.66,0.00,0.00,
2023-11-06 12:17:18.773,3.02,-1.63,0.00,0.00,
2023-11-06 12:17:18.873,3.11,-1.58,0.00,0.00,
2023-11-06 12:17:18.976,1.62,-1.76,0.00,0.00,
2023-11-06 12:17:19.085,0.10,-1.84,0.00,0.00,
2023-11-06 12:17:19.185,0.10,-1.84,0.00,0.00,
2023-11-06 12:17:19.290,1.97,-1.77,0.00,0.00,
2023-11-06 12:17:19.394,2.59,-1.76,0.00,0.00,
2023-11-06 12:17:19.501,2.29,-1.85,0.00,0.00,
2023-11-06 12:17:19.604,2.72,-1.76,0.00,0.00,
2023-11-06 12:17:19.706,1.68,-0.97,0.00,0.00,
2023-11-06 12:17:19.814,-0.76,1.15,0.00,0.00,
2023-11-06 12:17:19.918,-0.84,1.20,0.00,0.00,
2023-11-06 12:17:20.022,-0.80,1.11,0.00,0.00,
2023-11-06 12:17:20.123,-0.74,0.98,0.00,0.00,
2023-11-06 12:17:20.226,0.25,-0.56,0.00,0.00,
2023-11-06 12:17:20.327,1.18,-1.31,0.00,0.00,
2023-11-06 12:17:20.429,2.59,-0.79,0.00,0.00,
2023-11-06 12:17:20.532,2.88,-0.60,0.00,0.00,
2023-11-06 12:17:20.635,1.08,-0.84,0.00,0.00,
2023-11-06 12:17:20.739,2.27,-0.62,0.00,0.00,
2023-11-06 12:17:20.840,2.51,-0.80,0.00,0.00,
2023-11-06 12:17:20.943,1.90,-0.53,0.00,0.00,
2023-11-06 12:17:21.043,3.84,1.25,0.00,0.00,
2023-11-06 12:17:21.145,4.26,1.25,0.00,0.00,
2023-11-06 12:17:21.247,4.26,1.25,0.00,0.00,
2023-11-06 12:17:21.350,6.83,1.25,0.00,0.00,
2023-11-06 12:17:21.450,6.83,1.25,0.00,0.00,
2023-11-06 12:17:21.552,6.83,1.25,0.00,0.00,
2023-11-06 12:17:21.658,6.83,1.25,0.00,0.00,
2023-11-06 12:17:21.761,6.83,1.25,0.00,0.00,
2023-11-06 12:17:21.864,6.83,1.25,0.00,0.00,
2023-11-06 12:17:21.967,6.83,1.25,0.00,0.00,
2023-11-06 12:17:22.067,6.83,1.25,0.00,0.00,
2023-11-06 12:17:22.167,6.83,1.25,0.00,0.00,
2023-11-06 12:17:22.270,6.83,1.25,0.00,0.00,
