Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 12:34:37.787,0.00,0.00,0.00,0.00
2023-11-06 12:34:37.798,0.00,0.00,0.00,0.00,
2023-11-06 12:34:39.159,3.90,0.43,0.00,0.00,
2023-11-06 12:34:39.263,4.27,0.49,0.00,0.00,
2023-11-06 12:34:39.365,4.32,0.44,0.00,0.00,
2023-11-06 12:34:39.465,4.32,0.44,0.00,0.00,
2023-11-06 12:34:39.580,4.32,0.44,0.00,0.00,
2023-11-06 12:34:39.683,3.72,-0.26,0.00,0.00,
2023-11-06 12:34:39.790,3.38,-0.73,0.00,0.00,
2023-11-06 12:34:39.901,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.028,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.133,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.233,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.339,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.445,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.546,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.649,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.752,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.853,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:40.955,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.057,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.159,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.260,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.363,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.465,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.566,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.667,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.767,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.870,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:41.979,3.36,-0.73,0.00,0.00,
2023-11-06 12:34:42.086,3.36,-0.73,0.00,0.00,
