Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 12:07:46.412,0.00,0.00,0.00,0.00
2023-11-06 12:07:46.421,0.00,0.00,0.00,0.00,
2023-11-06 12:07:47.534,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:47.640,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:47.744,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:47.844,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:47.945,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.047,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.148,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.248,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.349,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.453,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.557,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.658,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.759,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.861,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:48.961,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.063,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.166,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.266,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.368,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.469,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.571,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.675,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.777,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.877,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:49.977,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.079,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.182,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.285,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.386,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.487,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.589,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.692,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.794,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.895,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:50.996,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.099,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.200,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.300,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.404,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.508,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.608,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.708,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.811,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:51.912,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.015,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.118,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.218,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.319,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.421,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.525,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.625,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.726,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.828,1.73,-1.85,0.00,0.00,
2023-11-06 12:07:52.931,0.86,-1.20,0.00,0.00,
2023-11-06 12:07:53.041,-0.98,-0.37,0.00,0.00,
2023-11-06 12:07:53.142,-1.06,-0.30,0.00,0.00,
2023-11-06 12:07:53.245,-1.07,-0.29,0.00,0.00,
2023-11-06 12:07:53.348,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:53.449,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:53.549,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:53.650,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:53.751,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:53.854,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:53.957,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.059,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.163,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.266,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.366,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.469,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.570,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.674,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.774,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.878,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:54.978,-1.08,-0.29,0.00,0.00,
2023-11-06 12:07:55.082,-1.53,-0.71,0.00,0.00,
2023-11-06 12:07:55.184,-3.04,-2.73,0.00,0.00,
2023-11-06 12:07:55.287,-3.18,-2.95,0.00,0.00,
2023-11-06 12:07:55.389,-3.18,-2.95,0.00,0.00,
2023-11-06 12:07:55.492,-4.37,-3.75,0.00,0.00,
2023-11-06 12:07:55.601,-4.66,-3.75,0.00,0.00,
2023-11-06 12:07:55.702,-4.69,-3.75,0.00,0.00,
2023-11-06 12:07:55.807,-4.72,-3.75,0.00,0.00,
2023-11-06 12:07:55.910,-4.75,-3.75,0.00,0.00,
2023-11-06 12:07:56.021,-4.81,-3.75,0.00,0.00,
2023-11-06 12:07:56.124,-4.81,-3.75,0.00,0.00,
