Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 12:31:28.849,0.00,0.00,0.00,0.00
2023-11-06 12:31:28.860,0.00,0.00,0.00,0.00,
2023-11-06 12:31:30.037,2.32,0.12,0.00,0.00,
2023-11-06 12:31:30.145,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.246,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.352,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.455,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.558,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.664,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.767,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.873,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:30.973,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.074,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.177,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.278,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.379,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.483,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.585,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.686,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.790,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.892,2.40,-0.02,0.00,0.00,
2023-11-06 12:31:31.995,2.46,-0.11,0.00,0.00,
2023-11-06 12:31:32.099,2.65,-0.33,0.00,0.00,
2023-11-06 12:31:32.202,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.305,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.406,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.508,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.609,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.711,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.812,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:32.913,2.67,-0.34,0.00,0.00,
2023-11-06 12:31:33.017,2.67,-0.34,0.00,0.00,
