Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-07 14:22:06.360,0.00,0.00,0.00,0.00
2023-11-07 14:22:06.370,0.00,0.00,0.00,0.00,
2023-11-07 14:22:07.643,2.57,-0.92,0.00,0.00,
2023-11-07 14:22:07.746,3.21,-0.74,0.00,0.00,
2023-11-07 14:22:07.847,3.36,-0.67,0.00,0.00,
2023-11-07 14:22:07.953,3.36,-0.67,0.00,0.00,
2023-11-07 14:22:08.058,3.31,-0.66,0.00,0.00,
2023-11-07 14:22:08.165,1.05,-1.40,0.00,0.00,
2023-11-07 14:22:08.280,-1.43,-2.07,0.00,0.00,
2023-11-07 14:22:08.383,-2.25,-2.02,0.00,0.00,
2023-11-07 14:22:08.486,-2.49,-1.36,0.00,0.00,
2023-11-07 14:22:08.600,-1.00,-1.37,0.00,0.00,
2023-11-07 14:22:08.702,0.16,-1.84,0.00,0.00,
2023-11-07 14:22:08.804,2.20,-1.64,0.00,0.00,
2023-11-07 14:22:08.909,3.29,-1.21,0.00,0.00,
2023-11-07 14:22:09.014,2.97,-0.85,0.00,0.00,
2023-11-07 14:22:09.117,1.42,-1.41,0.00,0.00,
2023-11-07 14:22:09.228,0.70,-1.63,0.00,0.00,
2023-11-07 14:22:09.330,-0.35,-1.78,0.00,0.00,
2023-11-07 14:22:09.433,-1.21,-1.87,0.00,0.00,
2023-11-07 14:22:09.534,-1.86,-1.83,0.00,0.00,
2023-11-07 14:22:09.634,-1.50,-1.67,0.00,0.00,
2023-11-07 14:22:09.736,0.43,-1.80,0.00,0.00,
2023-11-07 14:22:09.844,1.43,-2.01,0.00,0.00,
2023-11-07 14:22:09.946,2.23,-1.95,0.00,0.00,
2023-11-07 14:22:10.049,3.08,-1.44,0.00,0.00,
2023-11-07 14:22:10.155,3.35,-0.87,0.00,0.00,
2023-11-07 14:22:10.256,3.25,-0.94,0.00,0.00,
2023-11-07 14:22:10.361,3.21,-1.21,0.00,0.00,
2023-11-07 14:22:10.462,3.28,-1.25,0.00,0.00,
2023-11-07 14:22:10.564,3.29,-1.25,0.00,0.00,
2023-11-07 14:22:10.665,3.29,-1.25,0.00,0.00,
2023-11-07 14:22:10.766,3.59,-1.23,0.00,0.00,
2023-11-07 14:22:10.869,3.61,-1.23,0.00,0.00,
2023-11-07 14:22:10.971,3.61,-1.23,0.00,0.00,
2023-11-07 14:22:11.073,3.60,-1.23,0.00,0.00,
2023-11-07 14:22:11.176,2.70,-1.65,0.00,0.00,
2023-11-07 14:22:11.280,1.54,-2.13,0.00,0.00,
2023-11-07 14:22:11.386,-0.09,-2.36,0.00,0.00,
2023-11-07 14:22:11.488,-1.14,-2.34,0.00,0.00,
2023-11-07 14:22:11.590,-2.06,-1.99,0.00,0.00,
2023-11-07 14:22:11.691,-2.53,-1.56,0.00,0.00,
2023-11-07 14:22:11.794,-2.71,-1.26,0.00,0.00,
2023-11-07 14:22:11.896,-2.72,-1.18,0.00,0.00,
2023-11-07 14:22:12.007,-2.51,-1.16,0.00,0.00,
2023-11-07 14:22:12.111,-2.20,-1.14,0.00,0.00,
2023-11-07 14:22:12.211,-2.20,-1.13,0.00,0.00,
2023-11-07 14:22:12.315,-2.64,-0.99,0.00,0.00,
2023-11-07 14:22:12.415,-2.85,-0.92,0.00,0.00,
2023-11-07 14:22:12.518,-2.90,-0.87,0.00,0.00,
2023-11-07 14:22:12.621,-3.02,-0.77,0.00,0.00,
2023-11-07 14:22:12.722,-3.25,-0.66,0.00,0.00,
2023-11-07 14:22:12.825,-3.41,-0.58,0.00,0.00,
2023-11-07 14:22:12.928,-3.45,-0.56,0.00,0.00,
2023-11-07 14:22:13.032,-0.59,-0.51,0.00,0.00,
2023-11-07 14:22:13.133,1.70,-0.60,0.00,0.00,
2023-11-07 14:22:13.233,2.53,-0.57,0.00,0.00,
2023-11-07 14:22:13.336,2.74,-0.46,0.00,0.00,
2023-11-07 14:22:13.440,2.79,-0.45,0.00,0.00,
2023-11-07 14:22:13.540,2.35,-0.57,0.00,0.00,
2023-11-07 14:22:13.647,0.23,-1.22,0.00,0.00,
2023-11-07 14:22:13.748,-0.21,-1.24,0.00,0.00,
2023-11-07 14:22:13.851,-0.21,-1.24,0.00,0.00,
2023-11-07 14:22:13.953,-0.42,-1.23,0.00,0.00,
2023-11-07 14:22:14.056,-1.96,-0.98,0.00,0.00,
2023-11-07 14:22:14.157,-2.77,-0.93,0.00,0.00,
2023-11-07 14:22:14.258,-2.26,-0.93,0.00,0.00,
2023-11-07 14:22:14.362,0.31,-0.99,0.00,0.00,
2023-11-07 14:22:14.474,2.80,-0.86,0.00,0.00,
2023-11-07 14:22:14.574,4.71,-0.72,0.00,0.00,
2023-11-07 14:22:14.683,5.25,-0.70,0.00,0.00,
2023-11-07 14:22:14.785,5.81,-0.61,0.00,0.00,
2023-11-07 14:22:14.892,6.29,-0.48,0.00,0.00,
2023-11-07 14:22:14.994,6.70,-0.43,0.00,0.00,
2023-11-07 14:22:15.098,6.83,-0.42,0.00,0.00,
2023-11-07 14:22:15.198,6.83,-0.42,0.00,0.00,
2023-11-07 14:22:15.301,6.83,-0.44,0.00,0.00,
2023-11-07 14:22:15.403,6.83,-0.51,0.00,0.00,
2023-11-07 14:22:15.504,6.20,-0.80,0.00,0.00,
2023-11-07 14:22:15.607,5.46,-0.92,0.00,0.00,
2023-11-07 14:22:15.708,4.25,-1.47,0.00,0.00,
2023-11-07 14:22:15.811,2.38,-1.67,0.00,0.00,
2023-11-07 14:22:15.914,0.25,-2.15,0.00,0.00,
2023-11-07 14:22:16.014,-2.37,-1.80,0.00,0.00,
2023-11-07 14:22:16.118,-3.37,-1.65,0.00,0.00,
2023-11-07 14:22:16.220,-3.47,-1.17,0.00,0.00,
2023-11-07 14:22:16.323,-2.09,-1.22,0.00,0.00,
2023-11-07 14:22:16.424,-0.67,-1.73,0.00,0.00,
2023-11-07 14:22:16.526,0.86,-2.33,0.00,0.00,
2023-11-07 14:22:16.627,3.08,-2.20,0.00,0.00,
2023-11-07 14:22:16.729,3.89,-1.61,0.00,0.00,
2023-11-07 14:22:16.833,3.74,-1.14,0.00,0.00,
2023-11-07 14:22:16.937,2.36,-1.39,0.00,0.00,
2023-11-07 14:22:17.038,1.35,-2.05,0.00,0.00,
2023-11-07 14:22:17.140,-1.67,-2.39,0.00,0.00,
2023-11-07 14:22:17.241,-3.70,-2.16,0.00,0.00,
2023-11-07 14:22:17.348,-4.03,-1.32,0.00,0.00,
2023-11-07 14:22:17.451,-2.88,-0.70,0.00,0.00,
2023-11-07 14:22:17.556,-1.68,-1.46,0.00,0.00,
2023-11-07 14:22:17.656,-0.65,-1.46,0.00,0.00,
2023-11-07 14:22:17.758,-0.30,-1.05,0.00,0.00,
2023-11-07 14:22:17.860,-0.53,-1.05,0.00,0.00,
2023-11-07 14:22:17.962,0.81,-0.49,0.00,0.00,
2023-11-07 14:22:18.073,0.97,-0.38,0.00,0.00,
2023-11-07 14:22:18.175,1.40,-0.04,0.00,0.00,
2023-11-07 14:22:18.277,2.17,-0.47,0.00,0.00,
2023-11-07 14:22:18.378,0.89,-1.06,0.00,0.00,
2023-11-07 14:22:18.478,-0.07,-1.14,0.00,0.00,
2023-11-07 14:22:18.581,-1.90,-0.91,0.00,0.00,
2023-11-07 14:22:18.683,-6.29,-0.17,0.00,0.00,
2023-11-07 14:22:18.783,-6.54,-0.09,0.00,0.00,
2023-11-07 14:22:18.884,-6.54,-0.09,0.00,0.00,
2023-11-07 14:22:18.991,-6.83,-0.29,0.00,0.00,
2023-11-07 14:22:19.092,-6.83,-0.88,0.00,0.00,
2023-11-07 14:22:19.193,-5.54,-1.44,0.00,0.00,
2023-11-07 14:22:19.305,-5.45,-1.48,0.00,0.00,
2023-11-07 14:22:19.407,-6.15,-1.17,0.00,0.00,
2023-11-07 14:22:19.519,-6.83,-0.60,0.00,0.00,
2023-11-07 14:22:19.624,-6.83,-0.62,0.00,0.00,
2023-11-07 14:22:19.726,-6.83,-0.63,0.00,0.00,
2023-11-07 14:22:19.832,-5.99,-1.00,0.00,0.00,
2023-11-07 14:22:19.935,-1.74,-1.15,0.00,0.00,
2023-11-07 14:22:20.044,-0.97,-1.28,0.00,0.00,
2023-11-07 14:22:20.147,-0.97,-1.28,0.00,0.00,
2023-11-07 14:22:20.248,2.45,-1.28,0.00,0.00,
2023-11-07 14:22:20.348,6.46,-1.45,0.00,0.00,
2023-11-07 14:22:20.451,4.21,-1.70,0.00,0.00,
2023-11-07 14:22:20.554,-1.33,-3.06,0.00,0.00,
2023-11-07 14:22:20.656,-0.57,-2.70,0.00,0.00,
2023-11-07 14:22:20.759,2.29,-2.18,0.00,0.00,
2023-11-07 14:22:20.862,1.18,-2.47,0.00,0.00,
2023-11-07 14:22:20.964,-1.49,-2.34,0.00,0.00,
2023-11-07 14:22:21.066,-3.01,-2.01,0.00,0.00,
2023-11-07 14:22:21.169,-3.49,-1.70,0.00,0.00,
2023-11-07 14:22:21.271,0.10,-2.31,0.00,0.00,
2023-11-07 14:22:21.373,2.60,-2.76,0.00,0.00,
2023-11-07 14:22:21.474,5.32,-1.70,0.00,0.00,
2023-11-07 14:22:21.577,4.42,-1.33,0.00,0.00,
2023-11-07 14:22:21.678,1.33,-2.39,0.00,0.00,
2023-11-07 14:22:21.782,0.43,-2.92,0.00,0.00,
2023-11-07 14:22:21.884,-3.08,-3.75,0.00,0.00,
2023-11-07 14:22:21.985,-3.66,-2.99,0.00,0.00,
2023-11-07 14:22:22.089,-3.18,-2.44,0.00,0.00,
2023-11-07 14:22:22.190,-1.12,-2.23,0.00,0.00,
2023-11-07 14:22:22.293,0.82,-2.51,0.00,0.00,
2023-11-07 14:22:22.398,3.63,-2.21,0.00,0.00,
2023-11-07 14:22:22.499,4.66,-0.91,0.00,0.00,
2023-11-07 14:22:22.602,3.94,-0.08,0.00,0.00,
2023-11-07 14:22:22.705,3.39,0.15,0.00,0.00,
2023-11-07 14:22:22.809,4.42,-1.35,0.00,0.00,
2023-11-07 14:22:22.912,5.05,-0.98,0.00,0.00,
2023-11-07 14:22:23.015,3.73,-0.05,0.00,0.00,
2023-11-07 14:22:23.127,-0.42,-0.21,0.00,0.00,
2023-11-07 14:22:23.229,-0.97,0.09,0.00,0.00,
2023-11-07 14:22:23.332,-1.08,0.44,0.00,0.00,
2023-11-07 14:22:23.433,1.36,-0.42,0.00,0.00,
2023-11-07 14:22:23.535,2.35,-0.67,0.00,0.00,
2023-11-07 14:22:23.635,3.33,-2.34,0.00,0.00,
2023-11-07 14:22:23.737,2.45,-3.71,0.00,0.00,
2023-11-07 14:22:23.837,-0.32,-3.75,0.00,0.00,
2023-11-07 14:22:23.938,-1.17,-3.71,0.00,0.00,
2023-11-07 14:22:24.039,-1.17,-3.70,0.00,0.00,
2023-11-07 14:22:24.141,-1.29,-3.45,0.00,0.00,
2023-11-07 14:22:24.243,-1.46,-1.93,0.00,0.00,
2023-11-07 14:22:24.345,-1.50,-1.50,0.00,0.00,
2023-11-07 14:22:24.445,-1.49,-1.40,0.00,0.00,
2023-11-07 14:22:24.550,-1.42,-0.89,0.00,0.00,
2023-11-07 14:22:24.661,0.43,0.20,0.00,0.00,
2023-11-07 14:22:24.764,2.65,-0.92,0.00,0.00,
2023-11-07 14:22:24.867,3.26,-1.29,0.00,0.00,
2023-11-07 14:22:24.971,3.39,-1.17,0.00,0.00,
2023-11-07 14:22:25.075,3.68,-0.86,0.00,0.00,
2023-11-07 14:22:25.178,-1.68,-2.11,0.00,0.00,
2023-11-07 14:22:25.280,-5.77,-2.76,0.00,0.00,
2023-11-07 14:22:25.389,-6.38,-2.76,0.00,0.00,
2023-11-07 14:22:25.493,-6.53,-2.76,0.00,0.00,
2023-11-07 14:22:25.593,-6.78,-2.79,0.00,0.00,
2023-11-07 14:22:25.704,-6.83,-2.86,0.00,0.00,
2023-11-07 14:22:25.813,-6.83,-3.74,0.00,0.00,
2023-11-07 14:22:25.923,-4.33,-1.64,0.00,0.00,
2023-11-07 14:22:26.029,-2.26,1.25,0.00,0.00,
2023-11-07 14:22:26.130,-1.73,1.25,0.00,0.00,
2023-11-07 14:22:26.232,-1.64,1.25,0.00,0.00,
2023-11-07 14:22:26.333,-0.70,1.25,0.00,0.00,
2023-11-07 14:22:26.434,2.40,-1.01,0.00,0.00,
2023-11-07 14:22:26.536,2.99,-3.26,0.00,0.00,
2023-11-07 14:22:26.639,3.43,-3.75,0.00,0.00,
2023-11-07 14:22:26.742,3.98,-3.75,0.00,0.00,
2023-11-07 14:22:26.845,4.07,-3.75,0.00,0.00,
2023-11-07 14:22:26.948,3.55,-3.75,0.00,0.00,
2023-11-07 14:22:27.051,3.01,-3.29,0.00,0.00,
2023-11-07 14:22:27.153,0.66,-3.75,0.00,0.00,
2023-11-07 14:22:27.263,-0.10,-3.75,0.00,0.00,
2023-11-07 14:22:27.365,-0.57,-3.75,0.00,0.00,
2023-11-07 14:22:27.468,0.56,-3.51,0.00,0.00,
2023-11-07 14:22:27.570,2.12,-2.31,0.00,0.00,
