Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-07 14:18:20.132,0.00,0.00,0.00,0.00
2023-11-07 14:18:20.142,0.00,0.00,0.00,0.00,
2023-11-07 14:18:21.540,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:21.641,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:21.746,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:21.848,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:21.954,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.060,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.161,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.264,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.365,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.465,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.572,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.673,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.775,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.876,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:22.978,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.080,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.181,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.282,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.383,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.486,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.587,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.691,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.794,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.898,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:23.999,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.102,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.204,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.304,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.408,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.509,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.609,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.712,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.813,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:24.913,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.014,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.114,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.217,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.321,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.421,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.524,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.625,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.726,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.827,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:25.927,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.031,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.134,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.235,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.335,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.438,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.542,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.645,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.745,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.846,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:26.947,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:27.049,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:27.150,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:27.251,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:27.355,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:27.458,0.17,-0.27,0.00,0.00,
2023-11-07 14:18:27.559,0.17,-0.27,0.00,0.00,
