Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-07 14:27:38.878,0.00,0.00,0.00,0.00
2023-11-07 14:27:38.889,0.00,0.00,0.00,0.00,
2023-11-07 14:27:40.319,3.53,-0.83,0.00,0.00,
2023-11-07 14:27:40.436,3.54,-0.82,0.00,0.00,
2023-11-07 14:27:40.545,3.54,-0.82,0.00,0.00,
2023-11-07 14:27:40.645,3.54,-0.82,0.00,0.00,
2023-11-07 14:27:40.751,3.54,-0.82,0.00,0.00,
2023-11-07 14:27:40.852,3.86,-0.78,0.00,0.00,
2023-11-07 14:27:40.954,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.059,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.168,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.282,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.384,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.487,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.589,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.694,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.798,3.87,-0.78,0.00,0.00,
2023-11-07 14:27:41.904,3.27,-1.19,0.00,0.00,
2023-11-07 14:27:42.004,2.45,-1.64,0.00,0.00,
2023-11-07 14:27:42.107,1.07,-1.94,0.00,0.00,
2023-11-07 14:27:42.210,0.34,-2.14,0.00,0.00,
2023-11-07 14:27:42.320,-0.18,-2.30,0.00,0.00,
2023-11-07 14:27:42.424,-0.36,-2.29,0.00,0.00,
2023-11-07 14:27:42.527,1.00,-2.09,0.00,0.00,
2023-11-07 14:27:42.627,2.15,-2.09,0.00,0.00,
2023-11-07 14:27:42.732,3.03,-1.97,0.00,0.00,
2023-11-07 14:27:42.833,3.53,-1.53,0.00,0.00,
2023-11-07 14:27:42.944,3.91,-0.54,0.00,0.00,
2023-11-07 14:27:43.045,3.53,-0.23,0.00,0.00,
2023-11-07 14:27:43.147,3.56,-0.37,0.00,0.00,
2023-11-07 14:27:43.249,4.18,-1.38,0.00,0.00,
2023-11-07 14:27:43.350,4.07,-1.92,0.00,0.00,
2023-11-07 14:27:43.453,3.31,-2.23,0.00,0.00,
2023-11-07 14:27:43.553,2.54,-1.86,0.00,0.00,
2023-11-07 14:27:43.657,3.04,-0.37,0.00,0.00,
2023-11-07 14:27:43.758,4.35,-0.40,0.00,0.00,
2023-11-07 14:27:43.862,4.84,-1.28,0.00,0.00,
2023-11-07 14:27:43.963,3.67,-2.13,0.00,0.00,
2023-11-07 14:27:44.067,2.60,-1.50,0.00,0.00,
2023-11-07 14:27:44.169,3.04,-0.48,0.00,0.00,
2023-11-07 14:27:44.272,4.31,-1.16,0.00,0.00,
2023-11-07 14:27:44.373,3.45,-1.81,0.00,0.00,
2023-11-07 14:27:44.473,1.95,-1.69,0.00,0.00,
2023-11-07 14:27:44.575,3.26,-0.80,0.00,0.00,
2023-11-07 14:27:44.675,4.36,-1.34,0.00,0.00,
2023-11-07 14:27:44.777,3.16,-1.85,0.00,0.00,
2023-11-07 14:27:44.878,3.05,-0.92,0.00,0.00,
2023-11-07 14:27:44.980,4.21,-1.02,0.00,0.00,
2023-11-07 14:27:45.083,3.41,-1.87,0.00,0.00,
2023-11-07 14:27:45.184,2.61,-0.65,0.00,0.00,
2023-11-07 14:27:45.294,3.77,-0.22,0.00,0.00,
2023-11-07 14:27:45.398,3.65,-1.56,0.00,0.00,
2023-11-07 14:27:45.510,2.42,-1.43,0.00,0.00,
2023-11-07 14:27:45.611,3.25,-0.18,0.00,0.00,
2023-11-07 14:27:45.713,3.65,-0.35,0.00,0.00,
2023-11-07 14:27:45.817,2.19,-0.80,0.00,0.00,
2023-11-07 14:27:45.925,1.42,-1.42,0.00,0.00,
2023-11-07 14:27:46.034,0.94,-1.69,0.00,0.00,
2023-11-07 14:27:46.137,0.46,-1.92,0.00,0.00,
2023-11-07 14:27:46.241,0.26,-1.92,0.00,0.00,
2023-11-07 14:27:46.342,0.39,-1.76,0.00,0.00,
2023-11-07 14:27:46.442,2.13,-1.52,0.00,0.00,
2023-11-07 14:27:46.546,3.23,-1.39,0.00,0.00,
