Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 11:56:39.643,0.00,0.00,0.00,0.00
2023-11-06 11:56:39.653,0.00,0.00,0.00,0.00,
2023-11-06 11:56:40.931,2.24,0.03,0.00,0.00,
2023-11-06 11:56:41.048,2.24,0.03,0.00,0.00,
2023-11-06 11:56:41.150,2.24,0.03,0.00,0.00,
2023-11-06 11:56:41.253,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.355,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.456,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.561,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.663,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.781,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.885,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:41.990,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.092,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.196,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.300,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.400,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.501,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.602,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.703,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.806,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:42.907,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.007,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.109,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.210,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.310,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.413,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.517,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.617,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.720,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.824,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:43.928,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.029,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.130,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.233,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.336,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.437,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.537,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.641,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.743,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.847,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:44.951,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.053,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.155,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.259,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.359,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.462,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.563,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.665,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.768,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.868,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:45.971,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:46.074,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:46.175,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:46.279,2.27,-0.01,0.00,0.00,
2023-11-06 11:56:46.383,2.20,0.03,0.00,0.00,
2023-11-06 11:56:46.484,0.41,0.92,0.00,0.00,
2023-11-06 11:56:46.589,0.01,1.01,0.00,0.00,
2023-11-06 11:56:46.698,-0.15,1.05,0.00,0.00,
2023-11-06 11:56:46.799,-0.12,1.05,0.00,0.00,
2023-11-06 11:56:46.900,-0.07,1.04,0.00,0.00,
2023-11-06 11:56:47.011,0.23,0.36,0.00,0.00,
2023-11-06 11:56:47.115,0.27,-0.01,0.00,0.00,
2023-11-06 11:56:47.220,0.28,-0.02,0.00,0.00,
2023-11-06 11:56:47.324,0.28,-0.03,0.00,0.00,
2023-11-06 11:56:47.425,0.28,-0.03,0.00,0.00,
2023-11-06 11:56:47.526,0.28,-0.03,0.00,0.00,
2023-11-06 11:56:47.628,0.28,-0.03,0.00,0.00,
2023-11-06 11:56:47.729,0.61,-0.24,0.00,0.00,
2023-11-06 11:56:47.830,5.54,-2.17,0.00,0.00,
2023-11-06 11:56:47.942,2.37,-2.17,0.00,0.00,
2023-11-06 11:56:48.045,0.37,-1.86,0.00,0.00,
2023-11-06 11:56:48.149,1.65,-1.39,0.00,0.00,
2023-11-06 11:56:48.257,0.42,-1.65,0.00,0.00,
2023-11-06 11:56:48.357,1.01,-1.19,0.00,0.00,
2023-11-06 11:56:48.459,-0.18,-1.49,0.00,0.00,
2023-11-06 11:56:48.561,2.81,-0.92,0.00,0.00,
2023-11-06 11:56:48.664,2.62,-1.15,0.00,0.00,
2023-11-06 11:56:48.768,2.34,-1.25,0.00,0.00,
2023-11-06 11:56:48.877,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:48.978,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.079,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.181,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.281,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.382,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.483,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.583,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.684,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.785,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.885,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:49.987,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.092,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.194,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.294,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.395,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.499,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.601,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.705,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.807,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:50.908,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.009,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.109,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.210,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.313,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.414,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.516,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.619,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.722,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.824,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:51.927,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.030,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.133,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.237,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.340,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.440,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.543,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.644,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.747,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.850,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:52.953,2.42,-1.22,0.00,0.00,
2023-11-06 11:56:53.057,2.67,-0.24,0.00,0.00,
2023-11-06 11:56:53.162,4.56,1.25,0.00,0.00,
2023-11-06 11:56:53.264,4.69,1.25,0.00,0.00,
2023-11-06 11:56:53.365,4.69,1.25,0.00,0.00,
2023-11-06 11:56:53.469,6.01,1.25,0.00,0.00,
2023-11-06 11:56:53.573,6.80,1.25,0.00,0.00,
2023-11-06 11:56:53.676,6.75,1.25,0.00,0.00,
2023-11-06 11:56:53.780,6.73,1.25,0.00,0.00,
2023-11-06 11:56:53.881,6.83,1.25,0.00,0.00,
2023-11-06 11:56:53.986,6.83,1.25,0.00,0.00,
2023-11-06 11:56:54.088,6.83,1.25,0.00,0.00,
2023-11-06 11:56:54.189,6.83,1.25,0.00,0.00,
2023-11-06 11:56:54.291,6.83,1.25,0.00,0.00,
2023-11-06 11:56:54.395,6.83,1.25,0.00,0.00,
2023-11-06 11:56:54.497,6.83,1.25,0.00,0.00,
