Time,CursorX,CursorY,MeteorX,MeteorY
2024-02-07 11:43:07.347,5.25,-0.30
2024-02-07 11:43:07.447,5.25,-0.30
2024-02-07 11:43:07.548,5.25,-0.30,-1.88,-1.94,
2024-02-07 11:43:07.650,4.95,-0.68,-1.81,-1.87,
2024-02-07 11:43:07.751,4.88,-0.90,-1.74,-1.80,
2024-02-07 11:43:07.852,4.80,-0.90,-1.67,-1.73,
2024-02-07 11:43:07.954,4.80,-1.05,-1.60,-1.65,
2024-02-07 11:43:08.055,4.80,-1.05,-1.53,-1.58,
2024-02-07 11:43:08.156,4.80,-1.05,-1.45,-1.50,
2024-02-07 11:43:08.257,4.80,-1.05,-1.38,-1.43,
2024-02-07 11:43:08.358,4.80,-1.05,-1.31,-1.35,
2024-02-07 11:43:08.459,4.43,-1.05,-1.24,-1.28,
2024-02-07 11:43:08.560,1.95,-1.05,-1.17,-1.21,
2024-02-07 11:43:08.662,0.75,-0.98,-1.10,-1.14,
2024-02-07 11:43:08.764,0.45,-0.90,-1.40,-1.06,
2024-02-07 11:43:08.864,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:08.966,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.067,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.168,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.271,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.371,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.473,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.574,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.674,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.775,0.30,-0.90,-1.55,-1.06,
2024-02-07 11:43:09.877,-0.53,-0.90,-2.38,-1.06,
2024-02-07 11:43:09.980,-4.20,-0.38,-6.05,-0.54,
2024-02-07 11:43:10.081,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.182,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.284,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.385,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.487,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.588,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.690,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.792,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.894,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:10.994,-5.33,-0.08,-7.18,-0.24,
2024-02-07 11:43:11.094,-5.33,-0.08
2024-02-07 11:43:11.195,-5.33,-0.08
2024-02-07 11:43:11.297,-5.33,-0.08
2024-02-07 11:43:11.398,-5.33,-0.08
2024-02-07 11:43:11.499,-5.33,-0.08
2024-02-07 11:43:11.600,-5.33,-0.08
2024-02-07 11:43:11.701,-5.33,-0.08
2024-02-07 11:43:11.802,-5.33,-0.08
2024-02-07 11:43:11.903,-5.33,-0.08
2024-02-07 11:43:12.003,-5.33,-0.08
######################## PAUSED ########################
