Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-07 14:15:20.930,0.00,0.00,0.00,0.00
2023-11-07 14:15:20.941,0.00,0.00,0.00,0.00,
2023-11-07 14:15:22.232,3.42,-1.38,0.00,0.00,
2023-11-07 14:15:22.337,3.40,-1.39,0.00,0.00,
2023-11-07 14:15:22.442,3.29,-1.39,0.00,0.00,
2023-11-07 14:15:22.543,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:22.643,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:22.749,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:22.850,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:22.953,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.061,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.161,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.266,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.368,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.469,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.571,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.677,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.777,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.882,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:23.984,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.086,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.187,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.288,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.392,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.496,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.599,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.700,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.800,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:24.902,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.004,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.107,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.208,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.311,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.414,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.516,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.620,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.722,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.824,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:25.925,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.028,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.128,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.229,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.331,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.433,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.536,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.640,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.742,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.842,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:26.945,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:27.046,3.28,-1.39,0.00,0.00,
2023-11-07 14:15:27.146,3.28,-1.39,0.00,0.00,
