Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-07 14:30:54.333,0.00,0.00,0.00,0.00
2023-11-07 14:30:54.346,0.00,0.00,0.00,0.00,
2023-11-07 14:30:56.047,0.62,-0.54,0.00,0.00,
2023-11-07 14:30:56.151,0.62,-0.54,0.00,0.00,
2023-11-07 14:30:56.255,0.62,-0.54,0.00,0.00,
2023-11-07 14:30:56.361,0.62,-0.54,0.00,0.00,
2023-11-07 14:30:56.464,0.95,-0.61,0.00,0.00,
2023-11-07 14:30:56.571,1.87,-0.69,0.00,0.00,
2023-11-07 14:30:56.697,2.72,-0.68,0.00,0.00,
2023-11-07 14:30:56.799,3.33,-0.56,0.00,0.00,
2023-11-07 14:30:56.900,3.62,-0.53,0.00,0.00,
2023-11-07 14:30:57.008,2.96,-1.37,0.00,0.00,
2023-11-07 14:30:57.110,2.01,-2.30,0.00,0.00,
2023-11-07 14:30:57.211,-0.53,-2.32,0.00,0.00,
2023-11-07 14:30:57.328,-2.43,-1.51,0.00,0.00,
2023-11-07 14:30:57.433,-2.83,-1.25,0.00,0.00,
2023-11-07 14:30:57.541,-0.90,-1.63,0.00,0.00,
2023-11-07 14:30:57.654,1.92,-1.76,0.00,0.00,
2023-11-07 14:30:57.770,3.23,-1.08,0.00,0.00,
2023-11-07 14:30:57.872,3.54,-0.88,0.00,0.00,
2023-11-07 14:30:57.978,2.26,-1.98,0.00,0.00,
2023-11-07 14:30:58.095,3.59,-1.66,0.00,0.00,
2023-11-07 14:30:58.199,3.79,-1.49,0.00,0.00,
2023-11-07 14:30:58.301,3.15,-1.59,0.00,0.00,
2023-11-07 14:30:58.411,4.81,0.09,0.00,0.00,
2023-11-07 14:30:58.516,3.04,-0.25,0.00,0.00,
2023-11-07 14:30:58.620,4.16,-0.65,0.00,0.00,
2023-11-07 14:30:58.722,3.23,-1.76,0.00,0.00,
2023-11-07 14:30:58.826,-0.20,-2.31,0.00,0.00,
2023-11-07 14:30:58.937,2.14,-0.18,0.00,0.00,
2023-11-07 14:30:59.038,2.13,-1.86,0.00,0.00,
2023-11-07 14:30:59.142,1.43,-1.27,0.00,0.00,
2023-11-07 14:30:59.246,2.51,-1.27,0.00,0.00,
2023-11-07 14:30:59.350,2.05,-1.75,0.00,0.00,
2023-11-07 14:30:59.451,2.97,-0.69,0.00,0.00,
2023-11-07 14:30:59.554,2.27,-1.97,0.00,0.00,
2023-11-07 14:30:59.663,1.78,-1.49,0.00,0.00,
2023-11-07 14:30:59.777,2.08,-1.57,0.00,0.00,
2023-11-07 14:30:59.877,1.10,-1.80,0.00,0.00,
2023-11-07 14:30:59.979,2.67,-1.22,0.00,0.00,
2023-11-07 14:31:00.085,1.79,-2.21,0.00,0.00,
2023-11-07 14:31:00.190,2.31,-1.39,0.00,0.00,
2023-11-07 14:31:00.293,1.98,-2.43,0.00,0.00,
2023-11-07 14:31:00.398,1.37,-1.30,0.00,0.00,
2023-11-07 14:31:00.499,1.89,-1.68,0.00,0.00,
2023-11-07 14:31:00.602,1.43,-1.76,0.00,0.00,
2023-11-07 14:31:00.707,3.06,-1.40,0.00,0.00,
2023-11-07 14:31:00.812,3.16,-1.99,0.00,0.00,
2023-11-07 14:31:00.917,3.22,-1.25,0.00,0.00,
2023-11-07 14:31:01.019,3.61,-0.74,0.00,0.00,
2023-11-07 14:31:01.119,3.63,-0.72,0.00,0.00,
2023-11-07 14:31:01.225,3.63,-0.72,0.00,0.00,
2023-11-07 14:31:01.328,3.59,-0.69,0.00,0.00,
2023-11-07 14:31:01.432,2.27,-0.20,0.00,0.00,
2023-11-07 14:31:01.538,1.10,-0.14,0.00,0.00,
2023-11-07 14:31:01.644,0.72,-0.24,0.00,0.00,
2023-11-07 14:31:01.747,0.63,-0.36,0.00,0.00,
2023-11-07 14:31:01.852,1.79,-0.56,0.00,0.00,
