Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 16:37:19.114,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.214,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.318,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.421,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.523,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.625,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.727,3.05,-1.58,0.00,0.00,
2023-11-06 16:37:19.827,2.58,-1.19,0.00,0.00,
2023-11-06 16:37:19.927,2.01,-0.31,0.00,0.00,
2023-11-06 16:37:20.031,1.60,-0.09,0.00,0.00,
2023-11-06 16:37:20.134,1.57,-0.12,0.00,0.00,
2023-11-06 16:37:20.237,1.67,-0.34,0.00,0.00,
2023-11-06 16:37:20.340,2.58,0.86,0.00,0.00,
2023-11-06 16:37:20.441,3.03,1.25,0.00,0.00,
2023-11-06 16:37:20.542,3.03,1.25,0.00,0.00,
2023-11-06 16:37:20.644,3.03,1.25,0.00,0.00,
2023-11-06 16:37:20.744,3.03,1.25,0.00,0.00,
2023-11-06 16:37:20.848,3.03,1.25,0.00,0.00,
2023-11-06 16:37:20.951,3.01,1.25,0.00,0.00,
2023-11-06 16:37:21.053,3.00,1.25,0.00,0.00,
2023-11-06 16:37:21.155,2.99,1.25,0.00,0.00,
2023-11-06 16:37:21.256,2.96,0.96,0.00,0.00,
2023-11-06 16:37:21.360,3.34,-1.10,0.00,0.00,
2023-11-06 16:37:21.460,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:21.561,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:21.662,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:21.762,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:21.866,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:21.966,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:22.068,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:22.169,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:22.269,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:22.371,3.38,-1.19,0.00,0.00,
2023-11-06 16:37:22.473,3.54,0.68,0.00,0.00,
2023-11-06 16:37:22.576,5.57,1.25,0.00,0.00,
