Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-07 14:24:56.501,0.00,0.00,0.00,0.00
2023-11-07 14:24:56.512,0.00,0.00,0.00,0.00,
2023-11-07 14:24:58.028,1.77,-0.91,0.00,0.00,
2023-11-07 14:24:58.138,1.77,-0.91,0.00,0.00,
2023-11-07 14:24:58.241,1.77,-0.91,0.00,0.00,
2023-11-07 14:24:58.347,1.77,-0.91,0.00,0.00,
2023-11-07 14:24:58.449,1.77,-0.91,0.00,0.00,
2023-11-07 14:24:58.554,1.90,-0.79,0.00,0.00,
2023-11-07 14:24:58.671,1.95,-0.77,0.00,0.00,
2023-11-07 14:24:58.789,2.02,-0.77,0.00,0.00,
2023-11-07 14:24:58.892,2.36,-0.72,0.00,0.00,
2023-11-07 14:24:59.035,3.01,-0.70,0.00,0.00,
2023-11-07 14:24:59.136,3.11,-0.78,0.00,0.00,
2023-11-07 14:24:59.252,3.12,-1.41,0.00,0.00,
2023-11-07 14:24:59.355,2.18,-2.01,0.00,0.00,
2023-11-07 14:24:59.457,1.75,-2.16,0.00,0.00,
2023-11-07 14:24:59.557,1.06,-2.29,0.00,0.00,
2023-11-07 14:24:59.658,-0.16,-2.26,0.00,0.00,
2023-11-07 14:24:59.760,-1.27,-2.21,0.00,0.00,
2023-11-07 14:24:59.861,-3.25,-1.90,0.00,0.00,
2023-11-07 14:24:59.964,-3.72,-1.54,0.00,0.00,
2023-11-07 14:25:00.068,-3.41,-1.18,0.00,0.00,
2023-11-07 14:25:00.172,-1.61,-1.52,0.00,0.00,
2023-11-07 14:25:00.273,0.09,-1.85,0.00,0.00,
2023-11-07 14:25:00.376,1.59,-1.80,0.00,0.00,
2023-11-07 14:25:00.479,2.42,-1.64,0.00,0.00,
2023-11-07 14:25:00.582,2.98,-1.20,0.00,0.00,
2023-11-07 14:25:00.684,3.16,-0.94,0.00,0.00,
2023-11-07 14:25:00.787,2.36,-1.89,0.00,0.00,
2023-11-07 14:25:00.888,2.11,-2.10,0.00,0.00,
2023-11-07 14:25:00.989,2.94,-0.93,0.00,0.00,
2023-11-07 14:25:01.089,3.21,-0.75,0.00,0.00,
2023-11-07 14:25:01.193,3.07,-1.13,0.00,0.00,
2023-11-07 14:25:01.295,2.66,-1.46,0.00,0.00,
2023-11-07 14:25:01.401,3.24,-1.21,0.00,0.00,
2023-11-07 14:25:01.502,3.50,-1.17,0.00,0.00,
2023-11-07 14:25:01.603,3.51,-1.11,0.00,0.00,
2023-11-07 14:25:01.707,3.56,-1.01,0.00,0.00,
2023-11-07 14:25:01.808,2.54,-1.17,0.00,0.00,
2023-11-07 14:25:01.910,2.19,-1.27,0.00,0.00,
2023-11-07 14:25:02.011,2.19,-1.28,0.00,0.00,
2023-11-07 14:25:02.112,2.64,-1.22,0.00,0.00,
2023-11-07 14:25:02.216,3.51,-1.00,0.00,0.00,
2023-11-07 14:25:02.320,3.72,-0.81,0.00,0.00,
2023-11-07 14:25:02.422,3.74,-0.79,0.00,0.00,
2023-11-07 14:25:02.524,3.15,-0.96,0.00,0.00,
2023-11-07 14:25:02.625,2.53,-1.18,0.00,0.00,
2023-11-07 14:25:02.727,2.13,-1.26,0.00,0.00,
2023-11-07 14:25:02.828,2.61,-1.09,0.00,0.00,
2023-11-07 14:25:02.932,3.61,-0.73,0.00,0.00,
2023-11-07 14:25:03.036,3.63,-0.72,0.00,0.00,
2023-11-07 14:25:03.138,3.56,-0.72,0.00,0.00,
2023-11-07 14:25:03.241,3.54,-0.74,0.00,0.00,
