Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 16:50:31.141,0.00,0.00,0.00,0.00
2023-11-06 16:50:31.151,0.00,0.00,0.00,0.00,
2023-11-06 16:50:32.512,1.91,-0.59,0.00,0.00,
2023-11-06 16:50:32.618,1.91,-0.59,0.00,0.00,
2023-11-06 16:50:32.722,1.91,-0.59,0.00,0.00,
2023-11-06 16:50:32.827,1.92,-0.59,0.00,0.00,
2023-11-06 16:50:32.930,2.37,-0.28,0.00,0.00,
2023-11-06 16:50:33.031,2.31,-0.29,0.00,0.00,
2023-11-06 16:50:33.135,2.28,-0.32,0.00,0.00,
2023-11-06 16:50:33.236,1.87,-0.72,0.00,0.00,
2023-11-06 16:50:33.341,1.85,-1.24,0.00,0.00,
2023-11-06 16:50:33.455,3.72,-1.31,0.00,0.00,
2023-11-06 16:50:33.561,3.11,-1.98,0.00,0.00,
2023-11-06 16:50:33.674,0.76,-2.26,0.00,0.00,
2023-11-06 16:50:33.821,-0.98,-2.26,0.00,0.00,
2023-11-06 16:50:33.956,-1.22,-2.18,0.00,0.00,
2023-11-06 16:50:34.058,0.24,-2.18,0.00,0.00,
2023-11-06 16:50:34.162,2.35,-2.15,0.00,0.00,
2023-11-06 16:50:34.274,3.12,-1.98,0.00,0.00,
2023-11-06 16:50:34.377,3.55,-1.91,0.00,0.00,
2023-11-06 16:50:34.479,2.25,-2.16,0.00,0.00,
2023-11-06 16:50:34.582,0.72,-2.19,0.00,0.00,
2023-11-06 16:50:34.683,-0.31,-2.17,0.00,0.00,
2023-11-06 16:50:34.785,-2.45,-2.09,0.00,0.00,
2023-11-06 16:50:34.889,-3.35,-1.89,0.00,0.00,
2023-11-06 16:50:34.991,-3.42,-1.81,0.00,0.00,
2023-11-06 16:50:35.095,0.60,-2.31,0.00,0.00,
2023-11-06 16:50:35.201,2.25,-2.29,0.00,0.00,
2023-11-06 16:50:35.304,3.90,-1.73,0.00,0.00,
2023-11-06 16:50:35.405,3.92,-1.59,0.00,0.00,
2023-11-06 16:50:35.509,0.20,-1.67,0.00,0.00,
2023-11-06 16:50:35.612,-1.60,-1.99,0.00,0.00,
2023-11-06 16:50:35.715,-3.03,-2.11,0.00,0.00,
2023-11-06 16:50:35.816,-3.30,-2.03,0.00,0.00,
2023-11-06 16:50:35.920,-0.01,-2.28,0.00,0.00,
2023-11-06 16:50:36.021,1.85,-2.30,0.00,0.00,
